Query,Output
Get the current sprint ID and add all my P1 priority issues within it.,"var_1 = who_am_i()
var_2 = works_list(issue.priority=[""p1""], owned_by=[var_1], type=[""issue""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
"Determine the current user's tasks that are marked as 'urgent', then add them to the sprint ending this Friday","var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], ticket.severity=[""urgent""], type=[""task""])
var_3 = search_object_by_name(query=""sprint ending this Friday"")
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
"Get the current sprint ID and then add tasks T1, T2, and T3 to it","var_1 = get_sprint_id()
var_2 = add_work_items_to_sprint(work_ids=[""T1"", ""T2"", ""T3""], sprint_id=var_1)
"
"Find all tasks related to the ""DEV-OPS"" project and list them by ascending priority","var_1 = search_object_by_name(query=""DEV-OPS"")
var_2 = works_list(issue.rev_orgs=[var_1], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
"
Assign high severity tickets to the current sprint for user 'USR-456'.,"var_1 = works_list(type=[""ticket""], ticket.severity=[""high""], owned_by=[""USR-456""])
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
"
Create a report of issues related to enhancement ENH-999 and owned by developer DEVO-789,"var_1 = search_object_by_name(query=""ENH-999"")
var_2 = works_list(created_by=[""DEVO-789""], applies_to_part=[var_1], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
"
Add issues belonging to the 'QA' stage to the current sprint,"var_1 = works_list(type=[""issue""], stage.name=[""QA""])
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
"
"Find tickets by severity 'medium' for Rev organization REV-456, then prioritize and summarize these tickets","var_1 = search_object_by_name(query=""REV-456"")
var_2 = works_list(type=[""ticket""], ticket.rev_org=[var_1], ticket.severity=[""medium""])
var_3 = prioritize_objects(objects=var_2)
var_4 = summarize_objects(objects=var_3)
"
Retrieve and summarize tasks related to project Alpha,"var_1 = search_object_by_name(query=""project Alpha"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
"
Summarize all tasks that are in the 'development' stage and owned by me,"var_1 = who_am_i()
var_2 = works_list(type=[""task""], stage.name=[""development""], owned_by=[var_1])
var_3 = summarize_objects(objects=var_2)
"
Find all my tasks related to the ENH-456 enhancement and list them in order of priority.,"var_1 = who_am_i()
var_2 = search_object_by_name(query=""ENH-456"")
var_3 = works_list(owned_by=[var_1], applies_to_part=[var_2], type=[""task""])
var_4 = prioritize_objects(objects=var_3)
"
Identify and prioritize urgent tasks from the engineering channel,"var_1 = works_list(ticket.source_channel=[""engineering""], type=[""task""])
var_2 = prioritize_objects(objects=var_1)
"
Summarize all tasks related to CAPL-123 categorized by type,"var_1 = search_object_by_name(query=""CAPL-123"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
"
"For part ID PART-001, get all tasks in the design phase, prioritize and assign for the upcoming sprint","var_1 = search_object_by_name(query=""PART-001"")
var_2 = works_list(applies_to_part=[var_1], stage.name=[""design""], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
Retrieve the current sprint's ID and summarize the tasks within it,"var_1 = get_sprint_id()
var_2 = works_list(type=[""task""])
var_3 = summarize_objects(objects=var_2)
"
"Find all tasks related to part ENH-321, summarize, and prioritize them for the current sprint","var_1 = search_object_by_name(query=""ENH-321"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = prioritize_objects(objects=var_2)
var_5 = get_sprint_id()
var_6 = add_work_items_to_sprint(work_ids=var_4, sprint_id=var_5)
"
"Retrieve the ID of the ""Gamma Project"" sprint and add task ""TASK-789"" to it.","var_1 = search_object_by_name(query=""Gamma Project"")
var_2 = add_work_items_to_sprint(work_ids=[""TASK-789""], sprint_id=var_1)
"
Search for the sprint ID and add my P1 issues to it,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], issue.priority=[""p1""], type=[""issue""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
Summarize the current sprint's tasks for 'Project Delta',"var_1 = get_sprint_id()
var_2 = search_object_by_name(query=""Project Delta"")
var_3 = works_list(stage.name=[var_1], applies_to_part=[var_2], type=[""task""])
var_4 = summarize_objects(objects=var_3)
"
"Check for any tickets from ""TopClient"" that need a response and summon a summary","var_1 = search_object_by_name(query=""TopClient"")
var_2 = works_list(type=[""ticket""], ticket.needs_response=True, ticket.rev_org=[var_1])
var_3 = summarize_objects(objects=var_2)
"
"Could emotions be a guiding force, revealing deeper truths about our desires and fears?",#Unanswerable_Invalid_Query_Error
Find high priority tasks for component ABC-123 and organize by due date,"#Unanswerable_Invalid_Query_Error
"
"Find work items related to multiple parts 'PART-101', 'PART-202', 'PART-303', and sort them according to priority","var_1 = works_list(applies_to_part=[""PART-101"", ""PART-202"", ""PART-303""], type=[""issue"", ""ticket"", ""task""])
var_2 = prioritize_objects(objects=var_1)
"
"List work items labeled as ""bugfix"" and sort them by priority for the upcoming patch release","var_1 = works_list(type=[""issue"", ""ticket"", ""task""], type=[""bugfix""])
var_2 = prioritize_objects(objects=var_1)
"
Find and summarize tasks needing response for Rev organization REV-999,"var_1 = search_object_by_name(query=""REV-999"")
var_2 = works_list(ticket.rev_org=[var_1], ticket.needs_response=True, type=[""task""])
var_3 = summarize_objects(objects=var_2)
"
Get the current user ID and list their issues that are in 'review' stage,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], stage.name=[""review""], type=[""issue""])
"
"Find and summarize work items related to component COMP-456, then prioritize and add them to my sprint","var_1 = search_object_by_name(query=""COMP-456"")
var_2 = works_list(type=[""issue"", ""ticket"", ""task""], applies_to_part=[var_1])
var_3 = summarize_objects(objects=var_2)
var_4 = prioritize_objects(objects=var_2)
var_5 = get_sprint_id()
var_6 = add_work_items_to_sprint(work_ids=var_4, sprint_id=var_5)
"
Retrieve my tasks created last week and prioritize them.,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
"
Prioritize and summarize all issues created by SystemArchitect with a limit of 35 work items.,"var_1 = search_object_by_name(query=""SystemArchitect"")
var_2 = works_list(created_by=[var_1], type=[""issue""], limit=35)
var_3 = prioritize_objects(objects=var_2)
var_4 = summarize_objects(objects=var_3)
"
"Retrieve tasks marked as 'task' type and belonging to the Rev organization REV-ABC, then add these to the current sprint.","var_1 = search_object_by_name(query=""REV-ABC"")
var_2 = works_list(ticket.rev_org=[var_1], type=[""task""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
Find my tickets with ‘P1’ severity and summarize them,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], ticket.severity=[""p1""], type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
"
"Fetch tickets related to Feature Alpha, prioritize based on medium severity, and assign them to the engineering lead","var_1 = search_object_by_name(query=""Feature Alpha"")
var_2 = works_list(ticket.severity=[""medium""], ticket.rev_org=[var_1], type=[""ticket""])
var_3 = prioritize_objects(objects=var_2)
var_4 = search_object_by_name(query=""engineering lead"")
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
Summarize all the tasks assigned to me and then get work items similar to those tasks,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = get_similar_work_items(work_id=var_2)
"
"Find tickets requiring response from the ""Support"" Rev organization and summarize them","var_1 = search_object_by_name(query=""Support"")
var_2 = works_list(ticket.needs_response=True, ticket.rev_org=[var_1], type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
"
Retrieve and summarize tickets from 'Critical' channel for review,"var_1 = works_list(ticket.source_channel=[""Critical""], type=[""ticket""])
var_2 = summarize_objects(objects=var_1)
"
"Identify work created by user ""USR-99"", check for any response needed, and prioritize those items","var_1 = works_list(created_by=[""USR-99""], ticket.needs_response=True, type=[""issue"", ""ticket"", ""task""])
var_2 = prioritize_objects(objects=var_1)
"
" Prioritize all work items related to part COMPONENT-123 and summarize them, limiting the number of work items to 18.","var_1 = works_list(applies_to_part=[""COMPONENT-123""], limit=18)
var_2 = prioritize_objects(objects=var_1)
var_3 = summarize_objects(objects=var_2)
"
"For the 'Engineering' team, find all tasks in the 'Review' stage, prioritize and add to the current sprint.","var_1 = search_object_by_name(query=""Engineering"")
var_2 = works_list(type=[""task""], stage.name=[""Review""], owned_by=[var_1])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
"List and summarize all blocker tickets, then add the top priority ones to the sprint","var_1 = works_list(ticket.severity=[""blocker""], type=[""ticket""])
var_2 = summarize_objects(objects=var_1)
var_3 = prioritize_objects(objects=var_1)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
"List and prioritize tasks in the ""QA-Testing"" stage for part ""UIX-456""","var_1 = search_object_by_name(query=""UIX-456"")
var_2 = works_list(applies_to_part=[var_1], stage.name=[""QA-Testing""], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
"
Summarize tasks related to the 'Epic-WorldDomination',"var_1 = search_object_by_name(query=""Epic-WorldDomination"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
"
Summarize my tickets in 'waiting for customer' stage and check if they belong to organization REV-456,"var_1 = who_am_i()
var_2 = search_object_by_name(query=""REV-456"")
var_3 = works_list(owned_by=[var_1], stage.name=[""waiting for customer""], ticket.rev_org=[var_2], type=[""ticket""])
var_4 = summarize_objects(objects=var_3)
"
"What if our perception of reality is shaped by the limitations of our senses, and there are aspects of existence beyond our comprehension?",#Unanswerable_Invalid_Query_Error
"Retrieve and summarize all ""P0"" level issues assigned to me.","var_1 = who_am_i()
var_2 = works_list(issue.priority=[""p0""], owned_by=[var_1], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
"
Return the current sprint ID and then list all tasks related to the project 'Widget Revamp',"var_1 = get_sprint_id()
var_2 = search_object_by_name(query=""Widget Revamp"")
var_3 = works_list(applies_to_part=[var_2], type=[""task""])
"
"Find work items for ""ENH-456"" and summarize them","var_1 = search_object_by_name(query=""ENH-456"")
var_2 = works_list(applies_to_part=[var_1])
var_3 = summarize_objects(objects=var_2)
"
"Search for a work item with ID ITEM-321, summarize it, and identify p0-priority tasks related to it","var_1 = search_object_by_name(query=""ITEM-321"")
var_2 = summarize_objects(objects=[var_1])
var_3 = works_list(issue.priority=[""p0""], type=[""task""])
var_4 = prioritize_objects(objects=var_3)
"
Retrieve the ID for customer 'InnovateX' and list all related 'low' severity tickets.,"var_1 = search_object_by_name(query=""InnovateX"")
var_2 = works_list(ticket.severity=[""low""], ticket.rev_org=[var_1], type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
"
Retrieve my tasks of type 'issue' and summarize them,"var_1 = who_am_i()
var_2 = works_list(created_by=[var_1], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
"
"For the user 'USER-789', get all P2 issues, summarize them and then add these to the sprint with ID 'SPRINT-456'","var_1 = search_object_by_name(query=""USER-789"")
var_2 = works_list(owned_by=[var_1], issue.priority=[""p2""], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=""SPRINT-456"")
"
"Extract tasks from the ""project update"" notes and add them to the sprint for execution","var_1 = create_actionable_tasks_from_text(text=""project update"")
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
"
Add all p0 issues to the sprint for urgent resolution,"var_1 = works_list(issue.priority=[""p0""], type=[""issue""])
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
"
"Create tasks from notes taken during the ""Project Kickoff"" meeting and add them to current sprint","var_1 = create_actionable_tasks_from_text(text=""Project Kickoff meeting notes"")
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
"
Extract tasks from the troubleshooting guide T and assign them to the engineering team.,"var_1 = create_actionable_tasks_from_text(text=""T"")
var_2 = add_work_items_to_sprint(work_ids=var_1, sprint_id=""engineering_team"")
"
Identify all tasks related to 'Backend-Optimization' and list them by the due date.,"var_1 = search_object_by_name(query=""Backend-Optimization"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])"
Search for my tickets with 'medium' severity that are not yet resolved and summarize the list.,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], ticket.severity=[""medium""], type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
"
Search for the user ID of 'LeadDev' and list all work items they created,"var_1 = search_object_by_name(query=""LeadDev"")
var_2 = works_list(created_by=[var_1])
"
"Fill my current sprint with new tasks from meeting notes ""M""","var_1 = create_actionable_tasks_from_text(text=""M"")
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
"
Collect all issues related to 'Widget-Improvement' and add them to the 'Engineering' sprint.,"var_1 = search_object_by_name(query=""Widget-Improvement"")
var_2 = works_list(applies_to_part=[var_1], type=[""issue""])
var_3 = add_work_items_to_sprint(work_ids=var_2, sprint_id=""Engineering"")
"
"Get tickets requiring response, summarize them, and add them to the support team's current sprint","var_1 = works_list(ticket.needs_response=True, type=[""ticket""])
var_2 = summarize_objects(objects=var_1)
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
Summarize the current sprint's tasks related to Project X,"var_1 = get_sprint_id()
var_2 = search_object_by_name(query=""Project X"")
var_3 = works_list(applies_to_part=[var_2], type=[""task""])
var_4 = summarize_objects(objects=var_3)
"
"Find work items for the ""Alpha"" project, prioritize them, and add to the sprint.","var_1 = search_object_by_name(query=""Alpha"")
var_2 = works_list(applies_to_part=[var_1], type=[""issue"", ""ticket"", ""task""])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
Summarize the work items related to part CAPL-123 that are in the 'development' stage,"var_1 = search_object_by_name(query=""CAPL-123"")
var_2 = works_list(applies_to_part=[var_1], stage.name=[""development""], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
"
Identify and summarize work items created by user 'User123' that are awaiting response,"var_1 = search_object_by_name(query=""User123"")
var_2 = works_list(created_by=[var_1], ticket.needs_response=True)
var_3 = summarize_objects(objects=var_2)
"
"Search for current sprint ID, then add all my P1 tickets to it","var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], issue.priority=[""p1""], type=[""ticket""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
Summarize all tickets that require a response from the engineering team,"var_1 = search_object_by_name(query=""engineering team"")
var_2 = works_list(ticket.needs_response=True, owned_by=[var_1], type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
"
"Get work items in ""DEVELOPMENT"" stage for the ""NEW-FEATURE"" part and summarize the progress","var_1 = search_object_by_name(query=""NEW-FEATURE"")
var_2 = works_list(stage.name=[""DEVELOPMENT""], applies_to_part=[var_1], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
"
Find tickets for component X requiring attention,"var_1 = works_list(applies_to_part=[""component X""], ticket.needs_response=True, type=[""ticket""])
"
"Retrieve the current sprint ID and then get all tasks created by user USER-XYZ, prioritize them and add to the current sprint","var_1 = get_sprint_id()
var_2 = works_list(created_by=[""USER-XYZ""], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
var_4 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_1)
"
Summarize the p1 priority issues created by UserXYZ and check if they are in the current sprint,"var_1 = works_list(type=[""issue""], issue.priority=[""p1""], created_by=[""UserXYZ""])
var_2 = summarize_objects(objects=var_1)
var_3 = get_sprint_id()
"
"Find all work items for the CAPL-123 part, then summarize and prioritize them.","var_1 = works_list(applies_to_part=[""CAPL-123""])
var_2 = summarize_objects(objects=var_1)
var_3 = prioritize_objects(objects=var_1)
"
"Extract actionable tasks from the provided meeting notes ""M"" and add them to sprint ID SPRINT-456","var_1 = create_actionable_tasks_from_text(text=""M"")
var_2 = add_work_items_to_sprint(work_ids=var_1, sprint_id=""SPRINT-456"")
"
"Prioritize the tasks for the ""GammaOps"" team and add them to the ongoing sprint","var_1 = search_object_by_name(query=""GammaOps"")
var_2 = works_list(type=[""task""], owned_by=[var_1])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
"Find and summarize tasks related to ""Project X"" for the current sprint","var_1 = search_object_by_name(query=""Project X"")
var_2 = get_sprint_id()
var_3 = works_list(applies_to_part=[var_1], type=[""task""])
var_4 = summarize_objects(objects=var_3)
"
Generate a list of my tickets that need a response and summarize them,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], ticket.needs_response=True, type=[""ticket""])
var_3 = summarize_objects(objects=var_2)
"
Check my ownership of issues and get a summary for issues in 'test' stage,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], stage.name=[""test""], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
"
Add P1 and P2 issues to current sprint for part CAPL-456,"var_1 = works_list(applies_to_part=[""CAPL-456""], issue.priority=[""p1"", ""p2""], type=[""issue""])
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
"
" Find and summarize tickets with severity medium that need a response, limiting the results to 50.","var_1 = works_list(ticket.severity=[""medium""], ticket.needs_response=True)
var_2 = summarize_objects(objects=var_1)
"
Prioritize tickets from the REV-345 organization that need a response and summarize the prioritized list,"var_1 = works_list(ticket.rev_org=[""REV-345""], ticket.needs_response=True, type=[""ticket""])
var_2 = prioritize_objects(objects=var_1)
var_3 = summarize_objects(objects=var_2)
"
"Find tasks related to REV-456, list them by priority, and add them to the sprint identified by ID SPRINT-789","var_1 = search_object_by_name(query=""REV-456"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
var_4 = add_work_items_to_sprint(work_ids=var_3, sprint_id=""SPRINT-789"")
"
Find and prioritize tasks related to the 'ENH-123' part and add them to my current sprint,"var_1 = works_list(applies_to_part=[""ENH-123""], type=[""task""])
var_2 = prioritize_objects(objects=var_1)
var_3 = who_am_i()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=get_sprint_id())
"
"Identify work items linked to part PROD-456, filter by Rev organization ORG-678, and provide a summary.","var_1 = search_object_by_name(query=""ORG-678"")
var_2 = works_list(applies_to_part=[""PROD-456""], issue.rev_orgs=[var_1])
var_3 = summarize_objects(objects=var_2)
"
Check for any tickets that have been marked as 'blocker' and summarize them,"var_1 = works_list(ticket.severity=[""blocker""], type=[""ticket""])
var_2 = summarize_objects(objects=var_1)
"
Summarize the latest tasks for the CAPL-789 feature and check if any need responses,"var_1 = search_object_by_name(query=""CAPL-789"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""], ticket.needs_response=True)
var_3 = summarize_objects(objects=var_2)
"
Find tickets needing response for product PROD-ABC and prioritize them,"var_1 = search_object_by_name(query=""PROD-ABC"")
var_2 = works_list(type=[""ticket""], applies_to_part=[var_1], ticket.needs_response=True)
var_3 = prioritize_objects(objects=var_2)
"
"Find work items related to ENH-456, filter by priority p2, and provide a summary","var_1 = search_object_by_name(query=""ENH-456"")
var_2 = works_list(applies_to_part=[var_1], issue.priority=[""p2""], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
"
Search for the highest priority tasks for 'UserX' and prepare them for the current sprint planning.,"var_1 = search_object_by_name(query=""UserX"")
var_2 = works_list(owned_by=[var_1], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
" Prioritize all work items in the DEVELOPMENT stage owned by DevDerek and summarize them, limiting the number of work items to 22.","var_1 = works_list(owned_by=[""DevDerek""], stage.name=[""DEVELOPMENT""], limit=22)
var_2 = prioritize_objects(objects=var_1)
var_3 = summarize_objects(objects=var_2)
"
"Find work items for part PROD-321 that need a response, then summarize them","var_1 = search_object_by_name(query=""PROD-321"")
var_2 = works_list(applies_to_part=[var_1], ticket.needs_response=True, type=[""issue"", ""ticket"", ""task""])
var_3 = summarize_objects(objects=var_2)
"
Add my 'urgent-fix' issues to the current sprint and prioritize the sprint items,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], issue.priority=[""urgent-fix""], type=[""issue""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
var_5 = prioritize_objects(objects=var_2)
"
Organize work items by type for the 'Neptune' project and display them in a summarized form,"var_1 = search_object_by_name(query=""Neptune"")
var_2 = works_list(applies_to_part=[var_1])
var_3 = summarize_objects(objects=var_2)
"
"Prioritize tickets from ""SupportChannel"" and assign them to current sprint","var_1 = works_list(ticket.source_channel=[""SupportChannel""], type=[""ticket""])
var_2 = prioritize_objects(objects=var_1)
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
What are the health benefits of practicing yoga?,#Unanswerable_Invalid_Query_Error
Prioritize and summarize tasks from the 'BetaFeature' sprint for a status update.,"var_1 = search_object_by_name(query=""BetaFeature"")
var_2 = works_list(stage.name=[var_1], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
var_4 = summarize_objects(objects=var_3)
"
Add all my P1 tickets from REV-XYZ org to the sprint and prioritize them,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], issue.priority=[""p1""], ticket.rev_org=[""REV-XYZ""], type=[""ticket""])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
Summarize all issues with tag 'Backend' and priority 'p2',"var_1 = works_list(issue.priority=[""p2""], type=[""issue""])
var_2 = summarize_objects(objects=var_1)
"
"Find tasks related to the project PRJ-789, summarize the tasks, then sort them according to priority.","var_1 = search_object_by_name(query=""PRJ-789"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = prioritize_objects(objects=var_2)
"
"Summarize my tasks, prioritize them and add them to the sprint","var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], type=[""task""])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
"Find work related to ""ENH-456"" and summarize it","var_1 = search_object_by_name(query=""ENH-456"")
var_2 = works_list(applies_to_part=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
"
Generate a list of tasks from the meeting notes 'M' and assign to the team members,"var_1 = create_actionable_tasks_from_text(text=""M"")
"
Retrieve current sprint and generate summary of all P2 issues assigned to me,"var_1 = who_am_i()
var_2 = get_sprint_id()
var_3 = works_list(owned_by=[var_1], issue.priority=[""p2""], type=[""issue""])
var_4 = summarize_objects(objects=var_3)
"
Find and summarize work items related to part PROD-789 created by user USER-456,"var_1 = search_object_by_name(query=""USER-456"")
var_2 = search_object_by_name(query=""PROD-789"")
var_3 = works_list(created_by=[var_1], applies_to_part=[var_2], type=[""work""])
var_4 = summarize_objects(objects=var_3)
"
Retrieve the current sprint ID and list all tasks within it.,"var_1 = get_sprint_id()
var_2 = works_list(stage.name=[var_1], type=[""task""])
"
List out all medium severity tickets and add them to the latest sprint,"var_1 = works_list(ticket.severity=[""medium""], type=[""ticket""])
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
"
Add my recently prioritized tickets to the current sprint,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], type=[""ticket""])
var_3 = prioritize_objects(objects=var_2)
var_4 = get_sprint_id()
var_5 = add_work_items_to_sprint(work_ids=var_3, sprint_id=var_4)
"
"Retrieve my tasks, filter by 'in-progress' stage, and summarize","var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], stage.name=[""in-progress""], type=[""task""])
var_3 = summarize_objects(objects=var_2)
"
Identify all 'blocker' level tickets from the 'support' channel and them to sprint.,"var_1 = works_list(ticket.severity=[""blocker""], ticket.source_channel=[""support""], type=[""ticket""])
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
"
Identify and summarize all P2 issues related to the REV-456 organization,"var_1 = search_object_by_name(query=""REV-456"")
var_2 = works_list(type=[""issue""], issue.priority=[""p2""], issue.rev_orgs=[var_1])
var_3 = summarize_objects(objects=var_2)
"
"For parts ENH-123 and PROD-123, filter issues in stages 'development' and 'testing', then get the sprint ID and add these issues to the sprint","var_1 = works_list(applies_to_part=[""ENH-123"", ""PROD-123""], stage.name=[""development"", ""testing""], type=[""issue""])
var_2 = get_sprint_id()
var_3 = add_work_items_to_sprint(work_ids=var_1, sprint_id=var_2)
"
"Could love be a force that transcends the physical and connects us on a deeper, spiritual level?",#Unanswerable_Invalid_Query_Error
"Assign p0, p1 priority tickets to engineer ENG-456 for the current sprint","var_1 = search_object_by_name(query=""ENG-456"")
var_2 = works_list(type=[""ticket""], ticket.severity=[""p0"", ""p1""], owned_by=[var_1])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
Find and summarize tasks related to feature FEAT-456 that need a response,"var_1 = search_object_by_name(query=""FEAT-456"")
var_2 = works_list(ticket.needs_response=True, applies_to_part=[var_1], type=[""task""])
var_3 = summarize_objects(objects=var_2)
"
"Identify my tickets that need responses, get the current sprint, and add these tasks to it","var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], ticket.needs_response=True, type=[""ticket""])
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
Generate a list of tickets from the 'email' source channel under 'medium' severity and provide a summary,"var_1 = works_list(ticket.source_channel=[""email""], ticket.severity=[""medium""], type=[""ticket""])
var_2 = summarize_objects(objects=var_1)
"
"Summarize the current sprint's work items for ""MobileApp"" part and then add a new task ""Update UI""","var_1 = get_sprint_id()
var_2 = works_list(applies_to_part=[""MobileApp""], type=[""issue"", ""ticket"", ""task""])
var_3 = summarize_objects(objects=var_2)
var_4 = create_actionable_tasks_from_text(text=""Update UI"")
"
Find and summarize all issues with medium severity that I own,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], ticket.severity=[""medium""], type=[""issue""])
var_3 = summarize_objects(objects=var_2)
"
Retrieve current sprint's ID and add newly created P2 tickets to it,"var_1 = get_sprint_id()
var_2 = works_list(issue.priority=[""p2""], type=[""ticket""])
var_3 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_1)
"
"Search for an object with the name ""CriticalServer"" and return the highest confidence match","var_1 = search_object_by_name(query=""CriticalServer"")
"
"Generate a list of tasks from the discussion notes ""M"" and prioritize them for adding to the sprint.","var_1 = create_actionable_tasks_from_text(text=""M"")
var_2 = prioritize_objects(objects=var_1)
var_3 = get_sprint_id()
var_4 = add_work_items_to_sprint(work_ids=var_2, sprint_id=var_3)
"
Retrieve my work items with the 'blocker' severity that need a response and summarize them,"var_1 = who_am_i()
var_2 = works_list(owned_by=[var_1], ticket.severity=[""blocker""], ticket.needs_response=True)
var_3 = summarize_objects(objects=var_2)
"
